country,nutrient,intake_g_per_day,source_country,source_year
JAM,omega3,0.3993906513,JAM,2020
JOR,omega3,0.1619361189,JOR,2020
JPN,omega3,1.67203242,JPN,2020
KAZ,omega3,0.1777046556,KAZ,2020
KEN,omega3,0.1674568738,KEN,2020
KGZ,omega3,0.06730248011,KGZ,2020
KHM,omega3,1.201555901,KHM,2020
KOR,omega3,0.7626059305,KOR,2020
LAO,omega3,0.9589049502,LAO,2020
LBN,omega3,0.2076319626,LBN,2020
LBR,omega3,0.1316811391,LBR,2020
LBY,omega3,0.3196006726,LBY,2020
LKA,omega3,0.6326454285,LKA,2020
LSO,omega3,0.05401250231,LSO,2020
LTU,omega3,0.5987612305,LTU,2020
LUX,omega3,0.595344765,LUX,2020
LVA,omega3,0.4811058602,LVA,2020
MAR,omega3,0.3120510783,MAR,2020
MDA,omega3,0.3593266828,MDA,2020
MDG,omega3,0.1194173259,MDG,2020
MEX,omega3,0.3624871909,MEX,2020
MKD,omega3,0.1763696927,MKD,2020
MLI,omega3,0.2758726537,MLI,2020
MLT,omega3,0.5761443081,MLT,2020
MMR,omega3,1.276055108,MMR,2020
MNE,omega3,0.2863091731,MNE,2020
MNG,omega3,0.06056920621,MNG,2020
MOZ,omega3,0.185050022,MOZ,2020
MRT,omega3,0.2470730297,MRT,2020
MUS,omega3,0.4870347364,MUS,2020
MWI,omega3,0.3224988226,MWI,2020
MYS,omega3,1.114313711,MYS,2020
NAM,omega3,0.2346099792,NAM,2020
NER,omega3,0.08744685621,NER,2020
NGA,omega3,0.2701334187,NGA,2020
NIC,omega3,0.1235224612,NIC,2020
NLD,omega3,0.5227435821,NLD,2020
NOR,omega3,0.9649084521,NOR,2020
NPL,omega3,0.1160339955,NPL,2020
NZL,omega3,0.4642799731,NZL,2020
OMN,omega3,0.4828346985,OMN,2020
PAK,omega3,0.08186817288,PAK,2020
PAN,omega3,0.3818745059,PAN,2020
PER,omega3,0.5018865839,PER,2020
PHL,omega3,0.6996097423,PHL,2020
PNG,omega3,0.2969621058,PNG,2020
POL,omega3,0.2977355148,POL,2020
PRI,omega3,0.6165887407,PRI,2020
PRT,omega3,0.7568055529,PRT,2020
PRY,omega3,0.2770536991,PRY,2020
PSE,omega3,0.1104996378,PSE,2020
ROU,omega3,0.2450149742,ROU,2020
RUS,omega3,0.5452208836,RUS,2020
RWA,omega3,0.1076981808,RWA,2020
SAU,omega3,0.3461340944,SAU,2020
SDN,omega3,0.05647236792,SDN,2020
SEN,omega3,0.412682428,SEN,2020
SLB,omega3,0.5262686836,SLB,2020
SLE,omega3,0.4168912622,SLE,2020
SLV,omega3,0.196712896,SLV,2020
SOM,omega3,0.06192460359,SOM,2020
SRB,omega3,0.2373630025,SRB,2020
SSD,omega3,0.1211772831,SSD,2020
STP,omega3,0.4465746764,STP,2020
SUR,omega3,0.3329957988,SUR,2020
SVK,omega3,0.2515288722,SVK,2020
SVN,omega3,0.2664443673,SVN,2020
SWE,omega3,0.8173019536,SWE,2020
SWZ,omega3,0.09006288586,SWZ,2020
SYR,omega3,0.07086282414,SYR,2020
TCD,omega3,0.3497162616,TCD,2020
TGO,omega3,0.2520320187,TGO,2020
THA,omega3,0.6615413777,THA,2020
TJK,omega3,0.03346162143,TJK,2020
TKM,omega3,0.1938274837,TKM,2020
TLS,omega3,0.119938888,TLS,2020
TTO,omega3,0.3890785512,TTO,2020
TUN,omega3,0.2314167148,TUN,2020
TUR,omega3,0.3087634531,TUR,2020
TWN,omega3,0.6112250377,TWN,2020
TZA,omega3,0.2855066286,TZA,2020
UGA,omega3,0.5153629608,UGA,2020
UKR,omega3,0.2970736428,UKR,2020
URY,omega3,0.222150018,URY,2020
USA,omega3,0.3110668163,USA,2020
UZB,omega3,0.1115589215,UZB,2020
VEN,omega3,0.1993944932,VEN,2020
VNM,omega3,0.8589219269,VNM,2020
VUT,omega3,0.4898102074,VUT,2020
YEM,omega3,0.07659007268,YEM,2020
ZAF,omega3,0.1982382814,ZAF,2020
ZMB,omega3,0.364097006,ZMB,2020
ZWE,omega3,0.139826932,ZWE,2020
